п»їt_;IAS_ESR;IAS_ID
;140210;0
;141406;0
;143717;0
;145201;0
;137203;0
;154800;0
;154209;0
;153301;0
;155502;0
;155907;0
;155201;0
;151605;0
;151802;0
;155409;0
;154406;2
;159109;0
;159404;0
;140009;1
;162900;1
;166403;1
;166507;1
;166704;1
;166808;1
;140304;1
;140102;1
;140507;1
;140403;1
;138507;1
;137608;1
;139406;1
;138901;2
;135208;1
;135301;1
;135104;1
;134703;1
;152006;1
;134506;2
;137101;2
;138403;2
;139603;2
;139800;2
;139904;2
;136709;1
;136200;2
;136802;2
;137307;2
;153808;1
;150000;1
;155714;1
;155004;1
;154904;2
;150208;2
;146407;1
;156505;1
;156609;1
;158209;1
;148602;1
;148301;1
;148208;1
;148509;1
;149107;2
;149003;2
;147008;1
;147703;2
;156806;1
;157705;2
;159503;2
;157809;2
;156100;2
;160002;1
;161306;1
;164003;1
;165909;1
;165504;1
