ROAD#UN;ROAD#ID;MANAG_NO;ROAD_NO;ROAD_NAME;ROAD_SNAME;ROAD#BGN;ROAD#END
102588500;1025885;20;1;"Октябрьская";"Окт";"2007-09-17 14:12:25.948002";"2099-01-01 00:00:00.0"
102588600;1025886;26;8;"Эстонская";"Эст";"2007-09-17 14:12:25.948004";"2099-01-01 00:00:00.0"
102588700;1025887;25;9;"Латвийская";"Лат";"2007-09-17 14:12:25.963001";"2099-01-01 00:00:00.0"
102588800;1025888;20;10;"Калининградская";"Клг";"2007-09-17 14:12:25.963003";"2099-01-01 00:00:00.0"
102588900;1025889;24;12;"Литовская";"Лит";"2007-09-17 14:12:25.963005";"2099-01-01 00:00:00.0"
102589000;1025890;20;17;"Московская";"Моск";"2007-09-17 14:12:25.963007";"2099-01-01 00:00:00.0"
102589100;1025891;20;24;"Горьковская";"Горьк";"2007-09-17 14:12:25.979001";"2099-01-01 00:00:00.0"
102589200;1025892;20;28;"Северная";"Сев";"2007-09-17 14:12:25.979003";"2099-01-01 00:00:00.0"
102589300;1025893;22;32;"Юго-Западная";"Ю-Зап";"2007-09-17 14:12:25.979005";"2099-01-01 00:00:00.0"
102589400;1025894;22;35;"Львовская";"Льв";"2007-09-17 14:12:25.979007";"2099-01-01 00:00:00.0"
102589500;1025895;23;39;"Молдавская";"Млд";"2007-09-17 14:12:25.995001";"2099-01-01 00:00:00.0"
102589600;1025896;22;40;"Одесская";"Од";"2007-09-17 14:12:25.995003";"2099-01-01 00:00:00.0"
102589700;1025897;22;43;"Южная";"Южн";"2007-09-17 14:12:25.995005";"2099-01-01 00:00:00.0"
102589800;1025898;22;45;"Приднепровская";"Придн";"2007-09-17 14:12:25.995007";"2099-01-01 00:00:00.0"
102589900;1025899;22;48;"Донецкая";"Дон";"2007-09-17 14:12:25.995009";"2099-01-01 00:00:00.0"
102590000;1025900;20;51;"Северо-Кавказская";"С-Кав";"2007-09-17 14:12:26.010001";"2099-01-01 00:00:00.0"
102590100;1025901;57;55;"Азербайджанская";"Азерб";"2007-09-17 14:12:26.010003";"2099-01-01 00:00:00.0"
102590400;1025904;20;58;"Юго-Восточная";"Ю-Вост";"2007-09-17 14:12:26.010009";"2099-01-01 00:00:00.0"
102590500;1025905;20;61;"Приволжская";"Прив";"2007-09-17 14:12:26.026001";"2099-01-01 00:00:00.0"
102590600;1025906;20;63;"Куйбышевская";"Кбш";"2007-09-17 14:12:26.026003";"2099-01-01 00:00:00.0"
102590800;1025908;59;70;"Кыргызская";"Кырг";"2007-09-17 14:12:26.026007";"2099-01-01 00:00:00.0"
102590900;1025909;29;73;"Узбекская";"Узбк";"2007-09-17 14:12:26.042001";"2099-01-01 00:00:00.0"
102591100;1025911;67;75;"Туркменская";"Трк";"2007-09-17 14:12:26.042005";"2099-01-01 00:00:00.0"
102591200;1025912;20;76;"Свердловская";"Сверд";"2007-09-17 14:12:26.042007";"2099-01-01 00:00:00.0"
102591300;1025913;20;80;"Южно-Уральская";"Ю-Ур";"2007-09-17 14:12:26.042009";"2099-01-01 00:00:00.0"
102591400;1025914;20;83;"Западно-Сибирская";"З-Сиб";"2007-09-17 14:12:26.042011";"2099-01-01 00:00:00.0"
102591500;1025915;20;88;"Красноярская";"Крас";"2007-09-17 14:12:26.057001";"2099-01-01 00:00:00.0"
102591700;1025917;20;92;"Восточно-Сибирская";"В-Сиб";"2007-09-17 14:12:26.057005";"2099-01-01 00:00:00.0"
102591800;1025918;20;94;"Забайкальская";"Заб";"2007-09-17 14:12:26.057007";"2099-01-01 00:00:00.0"
102591900;1025919;20;96;"Дальневосточная";"Д-Вост";"2007-09-17 14:12:26.073";"2099-01-01 00:00:00.0"
102592200;1025922;21;13;"Белорусская";"Бел";"2007-09-17 14:12:26.088";"2099-01-01 00:00:00.0"
102591601;1025916;20;91;"ОАО АК ""Железные дороги Якутии""";"ЖДЯ";"2008-01-30 10:19:06.836";"2099-01-01 00:00:00.0"
102590201;1025902;58;56;"ЗАО ""Южно-Кавказская железная дорога""";"ЮКЖД";"2008-07-22 10:14:01.625001";"2099-01-01 00:00:00.0"
102590701;1025907;27;68;"Казахстанская";"Кзх";"2010-02-04 13:30:02.609001";"2099-01-01 00:00:00.0"
102590301;1025903;28;57;"Грузинская";"Грз";"2010-11-24 09:25:06.187004";"2099-01-01 00:00:00.0"
274191500;2741915;51;90;"Условная Польша";"ПР";"2001-01-01 00:00:00.01";"2099-01-01 00:00:00.0"
274193200;2741932;0;0;"Неопределённое значение";"NOT";"2011-01-24 10:28:14.312001";"2099-01-01 00:00:00.0"
391163000;3911630;20;85;"ГП ""Крымская железная дорога""";"Крым";"2014-06-03 12:00:06.777777";"2099-01-01 00:00:00.0"
102591001;1025910;66;74;"Таджикская";"Тадж";"2015-05-19 12:45:19.777777";"2099-01-01 00:00:00.0"
